"Nature du risque","Code risque","Taux net","Taux commun quel que soit effectif ?","Catégorie"
"Fabrication de mailles, dentelles, rubans, produits élastiques et fabrication diverse d'articles textiles.","17.7AB","2,7",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Confection. Fabrication d'accessoires de l'habillement et d'articles en toile.","18.2CB","2,6",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Cuirs et peaux.","19.1ZE","5",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Maroquinerie.","19.2ZH","2,6",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Chaussure.","19.3ZK","5,6",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Scieries, y compris prestations de service, abattage et coupe de bois dans les DOM, fabrication de charbon de bois à usage domestique.","20.1AF","5,8",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Traitement du bois.","20.1BA","5,7",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Tranchage et déroulage de bois, fabrication de contre-plaqués, de panneaux lattés, de bois tranché et de bois de placage, bois améliorés.","20.2ZA","4",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication en série de menuiserie de bâtiment (sans pose). Fabrication de panneaux de particules.","20.3ZD","4,4",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication de parquets, moulures, baguettes à partir du bois. Fabrication de bâtiments préfabriqués légers, d'éléments de charpentes, ébauchage et façonnage divers (y compris bois de brosse).","20.3ZE","5,2",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication de caisses en fardeaux, caisses montées, de palettes.","20.4ZF","5,7",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication d'emballages issus du bois et d'articles de tonnellerie.","20.4ZH","5,8",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication d'objets divers en bois, de sabots, d'articles en bois pour chaussure, de tabletterie.","20.5AE","4",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Production et transformation des pâtes à papier et carton.","21.2BD","3,2",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication de fils, de fibres artificielles ou synthétiques.","24.7ZB","4,6",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication, façonnage et travail technique du verre.","26.1EE","3,7",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication de vaisselle et d'objets en porcelaine ou en faïence.","26.2AG","5,1",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication de tuiles et briques et de produits céramiques non désignés par ailleurs.","26.2AH","3,4",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication d'appareils sanitaires en céramique.","26.2CA","6,9",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication de ciment, chaux, plâtre, produits en plâtre, agrégats légers, matériaux enrobés d'étanchéité et produits non désignés ailleurs.","26.5AB","3,1",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication de produits en béton.","26.6AA","6",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Préparation et livraison de béton prêt à l'emploi (sans mise en oeuvre) (1).","26.6EB","3,1",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication de produits en fibre-ciment.","26.6JB","103,8",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication et pose de produits de marbrerie.","26.7ZD","6,6",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication et réparation de navires en bois et en polyester stratifié.","35.1EB","4,4",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication de sièges, de billards, de meubles en bois non classée ailleurs et industries connexes à l'ameublement.","36.1AF","3,7",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication de meubles en bois pour agencement de magasins, de bureaux. Réparateurs de meubles anciens.","36.1CF","4",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication de meubles en bois pour cuisines et jardins. Tapissiers en siège.","36.1EF","3,5",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication de meubles meublants en bois. Fabrication de cercueils.","36.1GB","5,2",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication d'articles de literie et d'articles pour voiliers.","36.1MC","3,7",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication, réparation et accordage d'instruments de musique. Industrie de la brosserie. Fabrication d'articles en bois pour écriture.","36.3ZC","4",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Fabrication d'articles de pêche et d'articles de sport dont la matière dominante est le bois.","36.4ZE","3,7",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Activités manufacturières en bois ou matières similaires, articles de Paris, articles pour fumeurs, articles en liège, en vannerie, en paille. Empailleurs, réparateurs de sièges, canneurs, rempailleurs.","36.6EU","3,5",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Importation et commerce de gros des produits forestiers (bois en grume et bois ronds).","51.5EA","5,7",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Commerce de gros et demi-gros de futailles, d'articles semi-finis en bois sciés et de menuiseries de bâtiments, de placage et contreplaqués, de panneaux de particules et lattés.","51.5EF","4",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Commerce de détail des bois de menuiserie de placage et contre-plaqués, de panneaux de particules et lattés.","52.4PA","3,5",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Autres industries du cuir.","52.7AC","2",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Blanchisserie et teinturerie de gros, y compris la location de linge et vêtements professionnels blanchis. (2)","71.4AC","4,1",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Blanchisserie et teinturerie de détail, y compris laverie automatique.","93.0BA","2,6",,"industries du bois, de l'ameublement, du papier-carton, du textile, du vêtement, des cuirs et des peaux et des pierres et terres à feu"
"Commerce et location de véhicules automobiles et d'équipements associés, de machines et équipements agricoles. Ecoles de conduite. Exploitation de parkings.","50.3AD","2,1",,"commerces non alimentaires"
"Commerce de combustibles, charbons, carburants et lavages automatiques.","50.5ZB","3",,"commerces non alimentaires"
"Commerce de gros sans manutention. Centrales d'achats et intermédiaires du commerce non alimentaires.","51.1RB","1,2",,"commerces non alimentaires"
"Commerce de métaux, de biens d'occasion et commerce non alimentaire sur éventaires et marchés.","51.5CC","2,8",,"commerces non alimentaires"
"Commerce de gros de matériaux de construction.","51.5FA","2,4",,"commerces non alimentaires"
"Commerce de gros et location de matériel de bureau, électroménager, multimédia et informatique.","51.6GC","1,3",,"commerces non alimentaires"
"Commerce de gros d'équipement industriel et de la maison, d'équipement de la personne et de produits pharmaceutiques.","51.6KC","1,8",,"commerces non alimentaires"
"Intermédiaires du commerce avec manutention. Commerce de gros de produits chimiques et autres.","51.6LC","2",,"commerces non alimentaires"
"Commerce de gros ou location de matériel de construction (bâtiment et travaux publics) et agricole.","51.6NC","2,7",,"commerces non alimentaires"
"Commerce de détail de produits pharmaceutiques, d'articles médicaux et orthopédiques, d'optique et photographiques, de parfumerie et de produits de beauté.","52.3AC","1,3",,"commerces non alimentaires"
"Commerce de détail de l'habillement, textiles, chaussures, maroquinerie. Vente à distance. Commerce de bijouterie, d'horlogerie, et d'orfèvrerie.","52.4CD","1,8",,"commerces non alimentaires"
"Grands magasins, magasins multi-commerces ou magasins populaires, commerces de meubles et de décoration de la maison.","52.4HC","2,5",,"commerces non alimentaires"
"Commerce de détail de matériel électrique, radioélectrique et électroménager, y compris la location de disques et de cassettes.","52.4LA","1,9",,"commerces non alimentaires"
"Commerce de détail de bricolage (surface de vente supérieure ou égale à 400 m2).","52.4PB","3",,"commerces non alimentaires"
"Commerce de détail et location associée d'articles de sport et de loisirs, y compris cycles.","52.4WA","1,6",,"commerces non alimentaires"
"Commerce de fleurs et d'animaux d'agrément.","52.4XB","2,4",,"commerces non alimentaires"
"Commerce de détail de quincaillerie et de droguerie (surface de vente inférieure à 400 m2), céramique mobilière, arts de la table, jouets, instruments de musique, et autres.","52.4ZD","1,9",,"commerces non alimentaires"
"Promotion, vente, location ou administration de biens immobiliers.","70.3AD","1,6",,"commerces non alimentaires"
"Concierges et employés d'immeubles.","70.3CB","3,0 ","Oui","commerces non alimentaires"
"Location de biens de consommation (mobiliers, linges, bâches, sacs, etc.) et d'autres biens d'équipements (1).","71.4AB","2,6",,"commerces non alimentaires"
"Organismes et auxiliaires financiers. - Bourse de commerce.","65.1AB","1,1 ","Oui","activités de services I"
"Assurances et auxiliaires d'assurances.","66.0AB","1,1 ","Oui","activités de services I"
"Travaux informatiques à façon.","72.3ZA","1,2",,"activités de services I"
"Recherche scientifique et technique.","73.1ZC","1,2",,"activités de services I"
"Etablissements de recherche scientifique et technique relevant du secteur public.","73.1ZD","1,6",,"activités de services I"
"Groupements d'employeurs. Coopératives d'activité et d'emploi. Services divers rendus principalement aux entreprises non désignés par ailleurs.","74.1GB","1,1",,"activités de services I"
"Crédit-bail mobilier et immobilier, location de brevets. Cabinets juridiques et offices publics ou ministériels. Cabinets d'expertise comptable et d'analyse financière. Cabinets d'études informatiques et d'organisation.","74.1GD","1,1 ","Oui","activités de services I"
"Holdings. Cabinets de conseils en information et documentation. Cabinets d'études économiques, sociologiques, marchandisage.","74.1JB","1,1",,"activités de services I"
"Cabinets d'études techniques : agences de brevets, expertises, expertises en œuvre d'art. - Expert chargé d'évaluer les dommages (ou les risques).","74.2CB","1,2 ","Oui","activités de services I"
"Bureaux d'essais, bancs d'essais.","74.3BA","1,5",,"activités de services I"
"Administration hospitalière, y compris ses établissements publics.","75.1AE","1,6",,"activités de services I"
"Administration centrale et services extérieurs des administrations (y compris leurs établissements publics).","75.1AF","1,6 ","Oui","activités de services I"
"Collectivités territoriales (communales, départementales, régionales…) y compris leurs établissements publics hors secteur médico-social.","75.1BA","1,6",,"activités de services I"
"Etablissements publics médico-sociaux des collectivités territoriales.","75.1BB","1,6",,"activités de services I"
"Accueil à domicile, à titre onéreux, d'enfants, de personnes âgées ou d'adultes handicapés confiés par des organismes publics, des œuvres, des établissements ou des services de soins.","75.1CA","1,3",,"activités de services I"
"Personnes détenues, quelle que soit l'activité exercée.","75.2EE","1,8 ","Oui","activités de services I"
"Activités générales de sécurité sociale.","75.3AA","1,3 ","Oui","activités de services I"
"Couverture du risque chômage et autres garanties du maintien de revenu, y compris la caisse nationale de surcompensation du bâtiment et des travaux publics et caisses de retraite ne relevant pas de la législation sur les assurances.","75.3BB","1,1 ","Oui","activités de services I"
"Personnel enseignant et administratif des établissements d'enseignement privés et des organismes de formation.","80.1ZA","1,5 ","Oui","activités de services I"
"Elèves et étudiants des établissements publics ou privés d'enseignement secondaire, supérieur ou spécialisé visés à l'article L. 412-8 (2°, b) du code de la sécurité sociale.","80.2AA","0,0026 ","Oui","activités de services I"
"Elèves et étudiants des établissements publics et privés d'enseignement technique visés à l'article L. 412-8 (2°, a) du code de la sécurité sociale.","80.2CA","0,0143 ","Oui","activités de services I"
"Représentation diplomatique étrangère en France. - Organismes internationaux. - Service des armées alliées.","99.0ZA","1,2 ","Oui","activités de services I"
"Personnel permanent des entreprises de travail temporaire (1).","74.5BC","1,2",,"activités de services II"
"Toutes catégories de personnel de travail temporaire (1).","74.5BD","3,3",,"activités de services II"
"Travail temporaire : personnel de bureau et personnel paramédical (1).","74.5BE","1,2",,"activités de services II"
"Agences privées de recherches, entreprises de surveillance (sans transports de fonds).","74.6ZA","2,9",,"activités de services II"
"Services de nettoyage de locaux et d'objets divers. Activités de désinfection, de désinsectisation et de dératisation.","74.7ZF","4,2",,"activités de services II"
"Entreprises de conditionnement non spécialisées.","74.8DA","3,7",,"activités de services II"
"Travaux à façon divers sauf la location de brevets, entreposage d'archives d'entreprises (y compris la consultation d'archives). Ionisation de produits divers.","74.8KC","1,4",,"activités de services II"
"Services de soins privés médicaux exclusivement à domicile.","85.1AC","2,5",,"activités de services II"
"Etablissements de soins privés y compris les centres de réadaptation fonctionnelle, autres instituts pour la santé (établissements thermaux, etc.).","85.1AD","2,5",,"activités de services II"
"Médecine systématique et de dépistage (y compris les centres interentreprises de médecine du travail).","85.1CB","1,3",,"activités de services II"
"Cabinets de soins : médicaux et dentaires.","85.1CD","1,4",,"activités de services II"
"Cabinets d'auxiliaires médicaux.","85.1GA","2,5",,"activités de services II"
"Laboratoires d'analyses médicales extrahospitaliers.","85.1KA","1,4",,"activités de services II"
"Centres de transfusion sanguine et banques d'organes. Vétérinaires. Cliniques vétérinaires.","85.2ZB","2,5",,"activités de services II"
"Services d'aide sociale à domicile (auxiliaires de vie, aides ménagères…).","85.3AB","3,3 ","Oui","activités de services II"
"Accueil, hébergement en établissement pour personnes âgées (maisons de retraite…).","85.3AC","3,3 ","Oui","activités de services II"
"Accueil, hébergement en établissement pour personnes handicapées (enfants et adultes).","85.3AD","3,3 ","Oui","activités de services II"
"Accueil, hébergement, prévention pour petite enfance, l'enfance, l'adolescence (2).","85.3AE","3,3 ","Oui","activités de services II"
"Action sociale sous toutes ses formes hors risques 853AB/853AC/853AD/853AE.","85.3BA","3,3 ","Oui","activités de services II"
"Stagiaires des centres de formation professionnelle, de réadaptation fonctionnelle, de rééducation professionnelle.","85.3HA","2,38 ","Oui","activités de services II"
"Travailleurs handicapés des établissements ou services d'aide par le travail.","85.3HB","2,1 ","Oui","activités de services II"
"Association intermédiaire (personnes dépourvues d'emploi et mises à disposition).","85.3KL","3,9 ","Oui","activités de services II"
"Caisses de congés payés (en ce qui concerne le personnel qu'elles emploient).","91.1AB","1,5 ","Oui","activités de services II"
"Ordres. Syndicats et organisations professionnelles, économiques, religieuses, philosophiques, politiques. Autres services fournis à la collectivité.","91.3EH","1,5 ","Oui","activités de services II"
"Coiffure. Fabrication de postiches. Esthétique corporelle.","93.0DB","2",,"activités de services II"
"Pompes funèbres et services annexes, y compris le commerce d'articles funéraires (3).","93.0HB","3",,"activités de services II"
"Services personnels divers (y compris cabinets de graphologie, agences matrimoniales).","93.0NC","3,8",,"activités de services II"
"Voyageurs de commerce, représentants, placier non exclusif (au service de plusieurs employeurs).","51.1TG","1,3 ","Oui","travailleurs visés par l'arrêté prévu à l'article d. 242-6-22 du code de la sécurité sociale"
"Salariés d'un employeur ne comportant pas d'établissement en France, visé à l'article L. 243-1-2 du code de la sécurité sociale.","51.1TH","1,2 ","Oui","travailleurs visés par l'arrêté prévu à l'article d. 242-6-22 du code de la sécurité sociale"
"Vendeurs colporteurs de presse, porteurs de presse visés à l'article L. 311-3 (18°) du code de la sécurité sociale.","52.4RB","1,9 ","Oui","travailleurs visés par l'arrêté prévu à l'article d. 242-6-22 du code de la sécurité sociale"
"Vendeurs à domicile visés à l'article L. 311-3 (20°) du code de la sécurité sociale.","52.6GA","1,8 ","Oui","travailleurs visés par l'arrêté prévu à l'article d. 242-6-22 du code de la sécurité sociale"
"Salarié bénéficiant du titre de travail simplifié dans les départements d'outre mer et à Saint-Pierre-et-Miquelon en application de l'article L. 1522-3 du code du travail.","74.1GC","2,38 ","Oui","travailleurs visés par l'arrêté prévu à l'article d. 242-6-22 du code de la sécurité sociale"
"Accueil à domicile, à titre onéreux, d'enfants pour le compte de particuliers et de personnes âgées ou d'adultes handicapés sur leur propre demande ou pour le compte de particuliers.","85.3CA","1,1 ","Oui","travailleurs visés par l'arrêté prévu à l'article d. 242-6-22 du code de la sécurité sociale"
"Toute personne occupée exclusivement au service de particuliers : employés de maison (femme de ménage, lingère, couturière, blanchisseuse à la journée, chauffeur de maître).","95.0ZA","2,2 ","Oui","travailleurs visés par l'arrêté prévu à l'article d. 242-6-22 du code de la sécurité sociale"
"Toute personne effectuant des travaux de courte durée pour le compte de particuliers : travaux de bureaux ou assimilables.","95.0ZC","1,0 ","Oui","travailleurs visés par l'arrêté prévu à l'article d. 242-6-22 du code de la sécurité sociale"
"Toute personne effectuant des travaux de courte durée pour le compte de particuliers : travaux industriels (relevant généralement de professions du bâtiment).","95.0ZD","8,2 ","Oui","travailleurs visés par l'arrêté prévu à l'article d. 242-6-22 du code de la sécurité sociale"
"Personnels des sièges sociaux et bureaux des entreprises relevant de branches professionnelles autres que celles du bâtiment et des travaux publics.","00.00B",1,,"catégories de personnels visés par l'arrêté prévu à l'article d. 242-6-21 du code de la sécurité sociale  et a l'article 1er (iii) de l'arreté du 17 octobre 1995 relatif à la tarification des risques d'accidents du travail et de maladies professionnelles"
